Author|Title|urlFileName
The Ed Sullivan Show|"The Kim Sisters & The Kim Brothers ""Little Darling"" on The Ed Sullivan Show"|https://www.youtube.com/watch?v=hEnl1n5S-lA|https://www.streetdirectory.com/lyricadvisor/song/coccof/little_darlin/
LosBravosVEVO|Los Bravos - Black Is Black (FELIZ AÑO 1967 (ACTUACIÓN TVE))|https://www.youtube.com/watch?v=LkgyV_tTQfQ
jarichards99utube|Doo Wah Diddy Manfred Mann REMASTERED VIDEO TRUE 1964 STEREO HiQ Hybrid JARichardsFilm|https://www.youtube.com/watch?v=Uc0x7xOap4I
Rob Boelhouwers|suspicion (1964)|https://www.youtube.com/watch?v=Tfr9XmEUiVY
vintagemusictv|The Diamonds|https://www.youtube.com/watch?v=ga5ni2uzr2A
Rylan Folliard|Please Mister Postman|https://www.youtube.com/watch?v=ldHQYdqhuzQ
Massimo Materni|Don’t Worry Baby / The Beach Boys|https://www.youtube.com/watch?v=hhXPaIO0L3k
RHINO|Otis Redding - (Sittin' On) The Dock Of The Bay (Official Music Video)|https://www.youtube.com/watch?v=rTVjnBo96Ug
softengine60|Cliff Richard & The Shadows - The Young Ones|https://www.youtube.com/watch?v=5_mG-wxmbLA
Louis *Jukebox.Productions*|The Troggs - With A Girl Like You . HD|https://www.youtube.com/watch?v=7DKtvLmOdbc
YouCanDanceToit!|American Bandstand 1967 – Gimme Some Lovin’, The Spencer Davis Group|https://www.youtube.com/watch?v=8rLolnhscXE
estelle mccartney ♡|“Hang On Sloopy” - The McCoys - Once Upon a Time in Hollywood (Brad Pitt and Margaret Qualley)|https://www.youtube.com/watch?v=ywqtxZdo9pA
Just a fan of Western music|Peter & Gordon - A World Without Love ( Unofficial Video )|https://www.youtube.com/watch?v=DH2sdZzmN5s
Beat-Club|Herman's Hermits - No Milk Today (1966)|https://www.youtube.com/watch?v=wdCHlJoAP8I
Sondre & Tanya|CRAZY BOOGIE WOOGIE DANCE - Sondre & Tanya|https://www.youtube.com/watch?v=ZAYkErxiEzQ
Golden Cafe Playlist|☕ London Cafe Playlist - Indie Cafe & London Acoustic Music|https://www.youtube.com/watch?v=qPr8gDU_tfw
Golden Cafe Playlist|☕ New York Cafe Playlist - Jazz Cafe & New York Coffee Shop Music|https://www.youtube.com/watch?v=VhciTFBUbOg
Golden Cafe Playlist|☕ Kingston Cafe Playlist - Jamaican Reggae Cafe & A Story of Freedom in Jamaica|https://www.youtube.com/watch?v=Ct2YSGBzBB0
Golden Cafe Playlist|☕ Casablanca Cafe Playlist - Movie Inspired Vintage Jazz, Piano & Timeless Romance|https://www.youtube.com/watch?v=55Gm2g9YCAI
Golden Cafe Playlist|☕ Chicago Cafe Playlist - Jazz Cafe & A Story of Dreams in the Windy City|https://www.youtube.com/watch?v=eSWYVs-8ot4
Golden Cafe Playlist|☕ Paris Cafe Playlist - French Chanson & Parisian Cafe Music|https://www.youtube.com/watch?v=7_FgYPMtuIo&list=PLcBC80Z7Zv9jj5mGHM-Hnf1_AQCudKySE
Golden Cafe Playlist|☕ Lisbon Cafe Playlist - Fado Acoustic Cafe & Nostalgic Music for Study, Work & Relaxation|https://www.youtube.com/watch?v=y18EBFHU5aY
Emotional Hours Music|Midnight London Rain - Deep Emotional Piano, Cello & Harp|https://www.youtube.com/watch?v=LvkKRClY8uI
Neil Young|Neil Young - Heart of Gold (Live) [Harvest 50th Anniversary Edition] (Official Music Video)|https://www.youtube.com/watch?v=WZn9QZykx10&list=RDWZn9QZykx10&start_radio=1|https://pretace.surge.sh/book/taceDoc/musicInternetArchives.html
Jimi Hendrix - Topic|Sweet Angel|https://www.youtube.com/watch?v=CGaeMErW_7E&list=RDCGaeMErW_7E&start_radio=1
felixbautista|The Everly Brothers - LET IT BE ME|https://www.youtube.com/watch?v=lvA-STM7oJk&list=RDlvA-STM7oJk&start_radio=1
ReelinInTheYears66|The Everly Brothers • “All I Have to Do Is Dream” • 1958 [Reelin' In The Years Archive]|https://www.youtube.com/watch?v=Z-puwGtYwSQ&list=RDZ-puwGtYwSQ&start_radio=1
07BBingham|Ricky Nelson- Poor Little Fool|https://www.youtube.com/watch?v=R12H8QWnwvE&list=RDR12H8QWnwvE&start_radio=1
Panos Chrisostomou|Aphrodite's Child - Rain and Tears. Πολύ σπάνιο live στην Lille το 1968! Vangelis - Demis - Lucas!|https://www.youtube.com/watch?v=kdELEDwjRcA&list=RDkdELEDwjRcA&start_radio=1
sunryse111|Walking in the Rain JOHNNY RAY (with lyrics)|https://www.youtube.com/watch?v=eAjF0udrZ6Q&list=RDeAjF0udrZ6Q&start_radio=1
golden vinyl 60s|She's My Rock n Roll Queen - 60s Rock &Roll Love Song ❤️|https://www.youtube.com/watch?v=aGBQDdNiLco&list=RDaGBQDdNiLco&start_radio=1
Bright Old Days|1950s Rock & Roll - Fairground Fever (Doo-Wop Summer Night Song)|https://www.youtube.com/watch?v=2pB5SQ8b3qQ&list=RD2pB5SQ8b3qQ&start_radio=1
Willow Creek Jukebox|1950s Oldies - One Night in Las Vegas 🌙 Vintage Rock & Roll|https://www.youtube.com/watch?v=MDY6PzA4cko&list=RDMDY6PzA4cko&start_radio=1
gener8musicproduction|Only You (Doo-Wop Song-Oldie Style) - Prod. by Rilind Zekaj|https://www.youtube.com/watch?v=x61LjHRVYEk&list=RDx61LjHRVYEk&start_radio=1
Rock’n’Roll Dreamland|Suburban Los Angeles, 1950 🎉 House Party Boogie - 1950s Rock & Roll Party Song|https://www.youtube.com/watch?v=MW3HvM4FfWg&list=RDMW3HvM4FfWg&start_radio=1
Nostalgic 50s|The whole 1958 diner stopped when our song played - Doo-Wop Love Song|https://www.youtube.com/watch?v=7UZKp3HqGmk&list=RD7UZKp3HqGmk&start_radio=1
Golden Jukebox 1958|1950s California Dreamin’ 🌴 - Hollywood Nights, Golden Oldies & Rock’n’Roll Romance|https://www.youtube.com/watch?v=m0N1FEGUPM8&list=RDm0N1FEGUPM8&start_radio=1
House Blues Music|She Walked In — Chicago Blues Shuffle - Midnight Desire & Electric Riff|https://www.youtube.com/watch?v=y3xXeDexjh8&list=RDy3xXeDexjh8&start_radio=1
Barrelhouse Blues|Mississippi Moonshine - Barrelhouse Piano & Boogie Woogie - Delta Blues music|https://www.youtube.com/watch?v=b_eXCAwYIl0&list=RDb_eXCAwYIl0&start_radio=1
House Blues Music|Swamp Blues Shuffle — The Honey Trap You Can't Escape|https://www.youtube.com/watch?v=GvdmOa6iw2A&list=RDGvdmOa6iw2A&start_radio=1
Jesica Purple|Mad World – Tears for Fears - Blues Rock Version - Jesica Purple|https://www.youtube.com/watch?v=DQawegJ7kHQ&list=RDDQawegJ7kHQ&start_radio=1
House Blues Music|MOJO BUILT THIS TOWN — The Blues Shuffle That Won’t Let You Sit Still|https://www.youtube.com/watch?v=pT-Ja_3O4qY&list=RDpT-Ja_3O4qY&start_radio=1
House Blues Music|Too Loud to Quit 🔥 - Chicago Blues Shuffle — Electric Blues Guitar|https://www.youtube.com/watch?v=Us1Vrb8B0kM&list=RDUs1Vrb8B0kM&start_radio=1
